product_category_name_english,late_delivery_percentage
home_comfort_2,20.83
christmas_supplies,14.4
fashion_underwear_beach,13.68
furniture_mattress_and_upholstery,13.51
audio,13.22
construction_tools_lights,12.4
office_furniture,11.88
books_technical,11.33
home_confort,11.22
food,11.11
furniture_decor,10.91
electronics,10.57
home_construction,10.14
construction_tools_construction,10.05
health_beauty,9.92
bed_bath_table,9.92
garden_tools,9.86
furniture_living_room,9.42
baby,9.33
musical_instruments,9.17
computers_accessories,9.1
telephony,9.02
auto,9.0
costruction_tools_garden,8.95
furniture_bedroom,8.89
watches_gifts,8.83
stationery,8.75
arts_and_craftmanship,8.7
industry_commerce_and_business,8.66
consoles_games,8.35
fashio_female_clothing,8.33
sports_leisure,8.3
signaling_and_security,7.97
cine_photo,7.94
perfumery,7.93
music,7.89
toys,7.86
food_drink,7.69
fashion_sport,7.69
art,7.69
housewares,7.68
tablets_printing_image,7.59
computers,7.34
dvds_blu_ray,7.14
books_general_interest,7.07
home_appliances_2,7.05
cool_stuff,7.05
pet_shop,6.99
drinks,6.97
small_appliances_home_oven_and_coffee,6.94
home_appliances,6.83
fashion_bags_accessories,6.81
fashion_male_clothing,6.6
small_appliances,6.4
fashion_shoes,6.38
construction_tools_safety,6.29
costruction_tools_tools,6.19
luggage_accessories,5.69
party_supplies,5.26
fixed_telephony,5.19
agro_industry_and_commerce,5.08
kitchen_dining_laundry_garden_furniture,4.98
market_place,4.74
air_conditioning,4.47
diapers_and_hygiene,4.0
books_imported,4.0
flowers,3.45
security_and_services,0.0
la_cuisine,0.0
fashion_childrens_clothes,0.0
cds_dvds_musicals,0.0
